Unnamed: 0_level_0,Combined Payroll,Combined Payroll,Inlfation (2023),By Position,By Position,By Position,By Position
Club,"Gross P/W (EUR, 000's)","Gross P/Y (EUR, 000's)","Adj. Gross (EUR, 000's)","Keeper (EUR, 000's)","Defense (EUR, 000's)","Midfield (EUR, 000's)","Forward (EUR, 000's)"
PSG,"€ 3,916","€ 203,650","€ 218,842","€ 13,940","€ 65,400","€ 17,610","€ 106,700"
Monaco,"€ 1,575","€ 81,890","€ 87,999","€ 3,760","€ 21,790","€ 26,820","€ 29,520"
Marseille,"€ 1,433","€ 74,540","€ 80,101","€ 5,400","€ 16,240","€ 16,640","€ 36,260"
Lyon,€ 925,"€ 48,100","€ 51,688","€ 3,310","€ 18,020","€ 12,050","€ 14,720"
Nice,€ 579,"€ 30,100","€ 32,345","€ 1,590","€ 7,020","€ 5,230","€ 16,260"
Lille,€ 538,"€ 27,950","€ 30,035","€ 2,390","€ 10,060","€ 7,900","€ 7,600"
Rennes,€ 527,"€ 27,400","€ 29,444","€ 1,270","€ 7,650","€ 12,690","€ 5,790"
St-Etienne,€ 481,"€ 25,000","€ 26,865","€ 1,600","€ 6,240","€ 11,650","€ 5,510"
Bordeaux,€ 449,"€ 23,370","€ 25,113","€ 2,490","€ 6,050","€ 4,590","€ 10,240"
Nantes,€ 444,"€ 23,080","€ 24,802","€ 1,870","€ 8,510","€ 7,340","€ 5,360"
Toulouse,€ 377,"€ 19,590","€ 21,051","€ 1,550","€ 5,080","€ 4,310","€ 8,650"
Guingamp,€ 317,"€ 16,460","€ 17,688","€ 1,100","€ 5,690","€ 3,870","€ 5,800"
Angers,€ 302,"€ 15,700","€ 16,871","€ 1,190","€ 5,000","€ 5,150","€ 4,360"
Strasbourg,€ 270,"€ 14,050","€ 15,098","€ 1,410","€ 4,450","€ 5,640","€ 2,550"
Montpellier,€ 264,"€ 13,730","€ 14,754","€ 1,190","€ 5,000","€ 3,040","€ 4,500"
Reims,€ 254,"€ 13,220","€ 14,206",€ 910,"€ 5,120","€ 3,130","€ 4,060"
Caen,€ 239,"€ 12,450","€ 13,379",€ 880,"€ 4,230","€ 3,210","€ 4,130"
Dijon,€ 231,"€ 12,020","€ 12,917",€ 550,"€ 4,240","€ 3,510","€ 3,720"
Amiens,€ 218,"€ 11,360","€ 12,207",€ 750,"€ 3,630","€ 2,750","€ 4,230"
Nimes,€ 171,"€ 8,910","€ 9,575",€ 750,"€ 2,510","€ 3,800","€ 1,850"
Total,"€ 13,510","€ 702,570","€ 754,980","€ 47,900","€ 211,930","€ 160,930","€ 281,810"
