Unnamed: 0_level_0,Combined Payroll,Combined Payroll,Inlfation (2023),By Position,By Position,By Position,By Position
Club,"Gross P/W (EUR, 000's)","Gross P/Y (EUR, 000's)","Adj. Gross (EUR, 000's)","Keeper (EUR, 000's)","Defense (EUR, 000's)","Midfield (EUR, 000's)","Forward (EUR, 000's)"
Juventus,"€ 4,156","€ 216,116","€ 233,840","€ 15,436","€ 58,740","€ 43,300","€ 98,640"
Inter Milan,"€ 2,701","€ 140,430","€ 151,947","€ 10,710","€ 34,480","€ 40,810","€ 54,430"
Roma,"€ 2,194","€ 114,087","€ 123,444","€ 7,037","€ 40,550","€ 19,320","€ 47,180"
Napoli,"€ 2,031","€ 105,630","€ 114,293","€ 4,200","€ 40,080","€ 19,000","€ 42,350"
Lazio,"€ 1,676","€ 87,164","€ 94,313","€ 7,860","€ 23,620","€ 29,284","€ 26,400"
AC Milan,"€ 1,611","€ 83,790","€ 90,662","€ 14,500","€ 24,720","€ 14,260","€ 30,310"
Cagliari,"€ 1,149","€ 59,750","€ 64,650","€ 2,690","€ 18,650","€ 13,850","€ 24,560"
Fiorentina,€ 998,"€ 51,884","€ 56,139","€ 2,357","€ 15,947","€ 13,220","€ 20,360"
Torino,€ 962,"€ 50,040","€ 54,144","€ 5,100","€ 15,580","€ 12,830","€ 16,530"
Atalanta,€ 875,"€ 45,477","€ 49,207","€ 3,540","€ 15,417","€ 5,920","€ 20,600"
Parma,€ 815,"€ 42,357","€ 45,831","€ 2,340","€ 12,627","€ 10,800","€ 16,590"
Genoa,€ 788,"€ 40,973","€ 44,333","€ 2,760","€ 14,570","€ 14,743","€ 8,900"
Bologna,€ 697,"€ 36,222","€ 39,193","€ 2,435","€ 12,300","€ 9,940","€ 11,547"
Benevento,€ 623,"€ 32,404","€ 35,062",€ 817,"€ 9,870","€ 9,350","€ 12,367"
Sassuolo,€ 608,"€ 31,630","€ 34,224","€ 3,060","€ 11,020","€ 5,570","€ 11,980"
Sampdoria,€ 588,"€ 30,570","€ 33,077","€ 1,930","€ 9,410","€ 9,930","€ 9,300"
Udinese,€ 572,"€ 29,760","€ 32,201","€ 2,070","€ 7,940","€ 4,640","€ 15,110"
Hellas Verona,€ 561,"€ 29,154","€ 31,545","€ 1,437","€ 7,527","€ 10,800","€ 9,390"
Spezia,€ 392,"€ 20,397","€ 22,070","€ 2,547","€ 6,130","€ 4,320","€ 7,400"
Crotone,€ 365,"€ 18,987","€ 20,544",€ 647,"€ 4,250","€ 7,880","€ 6,210"
Total,"€ 24,362","€ 1,266,822","€ 1,370,719","€ 93,473","€ 383,428","€ 299,767","€ 490,154"
