Unnamed: 0_level_0,Combined Payroll,Combined Payroll,Inlfation (2023),By Position,By Position,By Position,By Position
Club,"Gross P/W (EUR, 000's)","Gross P/Y (EUR, 000's)","Adj. Gross (EUR, 000's)","Keeper (EUR, 000's)","Defense (EUR, 000's)","Midfield (EUR, 000's)","Forward (EUR, 000's)"
Bayern Munich,"€ 4,264","€ 221,710","€ 236,947","€ 25,100","€ 64,270","€ 34,080","€ 98,260"
Borussia Dortmund,"€ 2,166","€ 112,650","€ 120,392","€ 5,250","€ 34,300","€ 41,320","€ 31,780"
Leipzig,"€ 1,453","€ 75,550","€ 80,742","€ 6,600","€ 25,800","€ 15,200","€ 27,950"
Wolfsburg,"€ 1,229","€ 63,900","€ 68,292","€ 4,900","€ 20,170","€ 15,400","€ 23,430"
Schalke 04,"€ 1,229","€ 63,890","€ 68,281","€ 4,460","€ 24,740","€ 15,160","€ 19,530"
Bayer Leverkusen,"€ 1,131","€ 58,810","€ 62,852","€ 3,140","€ 22,200","€ 11,010","€ 22,460"
Monchengladbach,"€ 1,032","€ 53,640","€ 57,326","€ 5,190","€ 15,980","€ 13,650","€ 18,820"
Eintracht Frankfurt,"€ 1,031","€ 53,630","€ 57,316","€ 3,950","€ 12,440","€ 13,090","€ 24,150"
Hoffenheim,€ 841,"€ 43,720","€ 46,725","€ 3,220","€ 14,400","€ 11,140","€ 14,960"
Hertha Berlin,€ 797,"€ 41,460","€ 44,309","€ 3,040","€ 10,380","€ 14,480","€ 13,560"
Koln,€ 654,"€ 34,010","€ 36,347","€ 4,310","€ 7,740","€ 10,330","€ 11,630"
Werder Bremen,€ 584,"€ 30,370","€ 32,457","€ 3,390","€ 11,950","€ 2,670","€ 12,360"
Mainz,€ 522,"€ 27,160","€ 29,027","€ 1,150","€ 7,970","€ 8,730","€ 9,310"
Augsburg,€ 439,"€ 22,810","€ 24,378","€ 1,630","€ 5,440","€ 7,980","€ 7,760"
Stuttgart,€ 385,"€ 20,020","€ 21,396","€ 1,470","€ 5,180","€ 6,640","€ 6,730"
Union Berlin,€ 345,"€ 17,940","€ 19,173","€ 2,230","€ 6,210","€ 2,130","€ 7,370"
Freiburg,€ 306,"€ 15,910","€ 17,003","€ 1,360","€ 5,330","€ 3,770","€ 5,450"
Arminia Bielefeld,€ 183,"€ 9,530","€ 10,185",€ 650,"€ 2,490","€ 2,310","€ 4,080"
Total,"€ 18,591","€ 966,710","€ 1,033,148","€ 81,040","€ 296,990","€ 229,090","€ 359,590"
