Unnamed: 0_level_0,Combined Payroll,Combined Payroll,Inlfation (2023),By Position,By Position,By Position,By Position
Club,"Gross P/W (EUR, 000's)","Gross P/Y (EUR, 000's)","Adj. Gross (EUR, 000's)","Keeper (EUR, 000's)","Defense (EUR, 000's)","Midfield (EUR, 000's)","Forward (EUR, 000's)"
Real Madrid,"€ 5,735","€ 298,240","€ 298,240","€ 17,810","€ 92,220","€ 85,640","€ 102,570"
Barcelona,"€ 4,904","€ 255,010","€ 255,010","€ 12,610","€ 74,770","€ 86,890","€ 80,740"
Atletico Madrid,"€ 3,019","€ 156,980","€ 156,980","€ 21,690","€ 33,780","€ 53,150","€ 48,360"
Sevilla,"€ 1,540","€ 80,060","€ 80,060","€ 3,960","€ 25,570","€ 24,220","€ 26,310"
Athletic Club,"€ 1,178","€ 61,270","€ 61,270","€ 4,900","€ 21,700","€ 8,470","€ 26,200"
Villarreal,"€ 1,038","€ 54,000","€ 54,000","€ 7,520","€ 16,990","€ 16,270","€ 13,220"
Valencia,€ 985,"€ 51,220","€ 51,220","€ 5,460","€ 22,960","€ 6,240","€ 16,560"
Real Betis,€ 863,"€ 44,880","€ 44,880","€ 2,450","€ 15,780","€ 6,790","€ 19,860"
Real Sociedad,€ 862,"€ 44,830","€ 44,830","€ 3,040","€ 10,800","€ 10,570","€ 20,420"
Getafe,€ 723,"€ 37,605","€ 37,605","€ 4,065","€ 8,950","€ 9,230","€ 15,360"
Espanyol,€ 626,"€ 32,550","€ 32,550","€ 4,910","€ 6,920","€ 4,440","€ 16,280"
Celta Vigo,€ 578,"€ 30,060","€ 30,060","€ 1,720","€ 9,550","€ 2,670","€ 16,120"
Valladolid,€ 417,"€ 21,685","€ 21,685","€ 1,520","€ 4,620","€ 7,475","€ 8,070"
Mallorca,€ 406,"€ 21,090","€ 21,090","€ 1,410","€ 6,850","€ 5,040","€ 7,790"
Girona,€ 396,"€ 20,575","€ 20,575","€ 1,360","€ 7,170","€ 4,800","€ 7,245"
Cadiz,€ 391,"€ 20,340","€ 20,340","€ 1,170","€ 5,200","€ 5,770","€ 8,200"
Elche,€ 385,"€ 20,000","€ 20,000",€ 860,"€ 8,140","€ 2,020","€ 8,980"
Rayo Vallecano,€ 317,"€ 16,460","€ 16,460","€ 1,280","€ 4,150","€ 1,800","€ 9,230"
Osasuna,€ 315,"€ 16,385","€ 16,385","€ 2,300","€ 4,620","€ 2,550","€ 6,915"
Almeria,€ 294,"€ 15,290","€ 15,290","€ 1,680","€ 4,730","€ 3,160","€ 5,720"
Total,"€ 24,972","€ 1,298,530","€ 1,298,530","€ 101,715","€ 385,470","€ 347,195","€ 464,150"
